---------------------------------------
Begin Slurm Prolog: Mar-12-2025 10:24:04
Job ID:    2072822
User ID:   ssahoo61
Account:   coc
Job name:  GPUECNTraining
Partition: coc-gpu
QOS:       coc-ice
---------------------------------------

CondaError: Run 'conda init' before 'conda deactivate'

/home/hice1/ssahoo61/.conda/envs/ecn/lib/python3.12/site-packages/gymnasium/wrappers/rendering.py:283: UserWarning: [33mWARN: Overwriting existing videos at /home/hice1/ssahoo61/Documents/exploration-critique-networks/runs/Hopper-v5__ddpg_ecn__1__1741789454/videos folder (try specifying a different `video_folder` for the `RecordVideo` wrapper if this is not desired)[0m
  logger.warn(
/home/hice1/ssahoo61/.conda/envs/ecn/lib/python3.12/site-packages/torch/utils/_device.py:104: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:254.)
  return func(*args, **kwargs)
/home/hice1/ssahoo61/.conda/envs/ecn/lib/python3.12/site-packages/torch/utils/_device.py:104: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  return func(*args, **kwargs)
/home/hice1/ssahoo61/.conda/envs/ecn/lib/python3.12/site-packages/torch/utils/_device.py:104: UserWarning: Implicit dimension choice for softmax has been deprecated. Change the call to include dim=X as an argument.
global_step=2790, episodic_return=7.217850700369764
global_step=2816, episodic_return=33.41038762599252
global_step=2862, episodic_return=37.72197838573685
global_step=2881, episodic_return=8.820873581509694
global_step=2917, episodic_return=42.83185943549506
global_step=2956, episodic_return=16.35115045259862
global_step=2981, episodic_return=27.053718294979376
global_step=2993, episodic_return=9.522838283036254
global_step=3044, episodic_return=43.054872032062434
global_step=3060, episodic_return=8.521714596058525
global_step=3089, episodic_return=26.183635850179158
global_step=3103, episodic_return=5.715391141453553
global_step=3120, episodic_return=13.434058677425577
global_step=3131, episodic_return=8.633878308737206
global_step=3147, episodic_return=10.594681764477711
global_step=3168, episodic_return=17.0270194242814
global_step=3189, episodic_return=15.44064005800237
global_step=3209, episodic_return=16.759838423698934
global_step=3225, episodic_return=9.843850212268286
global_step=3249, episodic_return=14.083825918513696
global_step=3308, episodic_return=45.06899614939471
global_step=3323, episodic_return=8.66290272238444
global_step=3354, episodic_return=18.716609506489092
global_step=3370, episodic_return=9.458408195416906
global_step=3394, episodic_return=23.163199999330878
global_step=3428, episodic_return=8.561305967568451
global_step=3473, episodic_return=69.88725004871407
global_step=3486, episodic_return=9.778996751230622
global_step=3514, episodic_return=25.61364133472761
global_step=3535, episodic_return=7.8649546990816255
global_step=3562, episodic_return=29.27050512176351
global_step=3582, episodic_return=8.058377436727248
global_step=3603, episodic_return=21.676272115120938
global_step=3671, episodic_return=114.82405595585094
global_step=3688, episodic_return=10.629285798330061
global_step=3701, episodic_return=5.647897854548879
global_step=3711, episodic_return=5.678707110649226
global_step=3727, episodic_return=12.23840562765259
global_step=3751, episodic_return=18.99369411423697
global_step=3777, episodic_return=14.96578976331903
global_step=3788, episodic_return=5.972948897258115
global_step=3807, episodic_return=16.494462324435478
global_step=3828, episodic_return=9.772659319054052
global_step=3840, episodic_return=6.892355278855846
global_step=3855, episodic_return=10.254477973308186
global_step=3865, episodic_return=4.759796827030098
global_step=3879, episodic_return=7.846448191281531
global_step=3895, episodic_return=14.772899749631936
global_step=3915, episodic_return=11.797970087738497
global_step=3941, episodic_return=9.55094772044284
global_step=3959, episodic_return=13.790999278106746
global_step=3991, episodic_return=19.41574172795024
global_step=4014, episodic_return=5.925677253945987
global_step=4023, episodic_return=5.794837746849661
global_step=4043, episodic_return=6.822142720459888
global_step=4057, episodic_return=8.351915117178022
global_step=4086, episodic_return=10.177074435890049
global_step=4119, episodic_return=17.960622964333734
global_step=4138, episodic_return=12.908211957994947
global_step=4161, episodic_return=19.651581271662806
global_step=4192, episodic_return=25.662474188399415
global_step=4216, episodic_return=11.779976775247835
global_step=4241, episodic_return=21.00958242222466
global_step=4259, episodic_return=8.572244257559316
global_step=4279, episodic_return=20.183713651965324
global_step=4291, episodic_return=6.976642837099899
global_step=4379, episodic_return=114.90203915341212
global_step=4391, episodic_return=6.774453953887555
global_step=4411, episodic_return=14.274090122871574
global_step=4445, episodic_return=12.425780411244784
global_step=4459, episodic_return=11.381454529453348
global_step=4481, episodic_return=21.99864949163183
global_step=4497, episodic_return=10.854131953791414
global_step=4506, episodic_return=5.43202102597549
global_step=4529, episodic_return=13.834473345919909
global_step=4543, episodic_return=11.352856931552385
global_step=4561, episodic_return=15.100150717094175
global_step=4590, episodic_return=32.852143269319846
global_step=4607, episodic_return=10.41702468097264
global_step=4619, episodic_return=7.208736996133654
global_step=4642, episodic_return=11.886868716343992
global_step=4658, episodic_return=10.777486196358566
global_step=4688, episodic_return=33.087704387975755
global_step=4700, episodic_return=9.009927650767699
global_step=4725, episodic_return=26.213832180604722
global_step=4734, episodic_return=6.472798086052273
global_step=4745, episodic_return=5.575239532579834
global_step=4759, episodic_return=6.7259220039926815
global_step=4774, episodic_return=9.289426581461383
global_step=4811, episodic_return=10.095664868918622
global_step=4827, episodic_return=14.161761092093078
global_step=4865, episodic_return=48.04930136195714
global_step=4906, episodic_return=26.49156451990449
global_step=4925, episodic_return=13.251943966636667
global_step=4947, episodic_return=19.324007918244646
global_step=4974, episodic_return=11.114524853342214
global_step=4995, episodic_return=19.436789831600343
global_step=5007, episodic_return=8.650276722132903
global_step=5039, episodic_return=27.85533915716154
global_step=5051, episodic_return=9.60978423804412
global_step=5083, episodic_return=35.46210614518885
global_step=5103, episodic_return=10.216724556591883
global_step=5130, episodic_return=23.830875272601823
global_step=5146, episodic_return=11.101377759420805
global_step=5172, episodic_return=10.08254506700058
global_step=5185, episodic_return=9.117015245767481
global_step=5214, episodic_return=14.268094020052512
global_step=5240, episodic_return=12.173421310348111
global_step=5265, episodic_return=25.006937090495317
global_step=5303, episodic_return=37.43616582133504
global_step=5333, episodic_return=27.207167774238517
global_step=5343, episodic_return=5.9870526901225745
global_step=5368, episodic_return=20.687511439503602
global_step=5381, episodic_return=8.386083528213337
global_step=5392, episodic_return=8.493028809518977
global_step=5413, episodic_return=19.866199433988914
global_step=5432, episodic_return=12.515479488557398
global_step=5449, episodic_return=14.892658223677518
global_step=5461, episodic_return=10.132642850485746
global_step=5486, episodic_return=30.019666748824463
global_step=5503, episodic_return=10.399951428885148
global_step=5522, episodic_return=17.679114271969304
global_step=5539, episodic_return=10.767016548325296
global_step=5562, episodic_return=11.730341423791616
global_step=5575, episodic_return=9.594031121551366
global_step=5589, episodic_return=5.408800082192446
global_step=5601, episodic_return=7.957276382312542
global_step=5615, episodic_return=6.436396446349955
global_step=5636, episodic_return=12.300653330064213
global_step=5646, episodic_return=6.9787622589700575
global_step=5679, episodic_return=33.08625205430098
global_step=5708, episodic_return=26.83536867977654
global_step=5727, episodic_return=7.350561746879784
global_step=5743, episodic_return=10.654758146616532
global_step=5768, episodic_return=10.654439962467382
global_step=5782, episodic_return=10.685179334694366
global_step=5803, episodic_return=6.772535355524538
global_step=5828, episodic_return=19.332130386263035
global_step=5868, episodic_return=22.10227508183326
global_step=5937, episodic_return=53.26008908038551
global_step=5951, episodic_return=11.560024375260786
global_step=5970, episodic_return=10.1762300702313
global_step=5993, episodic_return=19.765246942234548
global_step=6024, episodic_return=34.83264216752703
global_step=6042, episodic_return=12.444094340115129
global_step=6072, episodic_return=17.864910691590303
global_step=6109, episodic_return=61.801260541947585
global_step=6141, episodic_return=14.772455304260621
global_step=6163, episodic_return=12.071785528183705
global_step=6203, episodic_return=51.99304778157574
global_step=6224, episodic_return=9.554986571753705
global_step=6242, episodic_return=11.830581762783625
global_step=6260, episodic_return=7.164306449886013
global_step=6269, episodic_return=3.795514474532007
global_step=6279, episodic_return=7.421845108088405
global_step=6300, episodic_return=19.05164591575641
global_step=6332, episodic_return=21.147315256824
global_step=6406, episodic_return=86.17446556679481
global_step=6429, episodic_return=16.580260444900222
global_step=6453, episodic_return=12.198702057030733
global_step=6473, episodic_return=13.956427536350374
global_step=6486, episodic_return=9.51098568116691
global_step=6499, episodic_return=7.5010900151125455
global_step=6507, episodic_return=4.121386428214127
global_step=6521, episodic_return=12.072493969911193
global_step=6533, episodic_return=9.712671419957681
global_step=6553, episodic_return=12.268096160989733
global_step=6569, episodic_return=7.7038199025188705
global_step=6589, episodic_return=11.259095339427388
global_step=6612, episodic_return=12.604609471557051
global_step=6625, episodic_return=8.993033712279182
global_step=6656, episodic_return=9.266554922144163
global_step=6683, episodic_return=9.629403401611075
global_step=6696, episodic_return=5.810183325680221
global_step=6708, episodic_return=5.838190860677862
global_step=6721, episodic_return=10.568076099592895
global_step=6730, episodic_return=5.639118926194221
global_step=6746, episodic_return=12.088068061770725
global_step=6774, episodic_return=23.164295604701742
global_step=6797, episodic_return=13.159706506464325
global_step=6815, episodic_return=7.123749463853347
global_step=6846, episodic_return=32.57526144723481
global_step=6881, episodic_return=24.48947679794833
global_step=6923, episodic_return=54.56936250075063
global_step=6939, episodic_return=14.577463651415199
global_step=6963, episodic_return=11.73455710518812
global_step=6982, episodic_return=11.321190028494321
global_step=7000, episodic_return=14.396333809384354
global_step=7036, episodic_return=24.702889809484237
global_step=7049, episodic_return=8.075523126597245
global_step=7061, episodic_return=10.493725565543414
global_step=7076, episodic_return=11.528690983244722
global_step=7095, episodic_return=11.784150255271497
global_step=7110, episodic_return=7.6976340700285215
global_step=7128, episodic_return=9.893802612602727
global_step=7139, episodic_return=8.175095579253082
global_step=7148, episodic_return=2.930086384117658
global_step=7166, episodic_return=15.160006998752182
global_step=7179, episodic_return=10.089241141208081
global_step=7193, episodic_return=5.1006682516738815
global_step=7217, episodic_return=16.11765809791819
global_step=7236, episodic_return=17.36760824910834
global_step=7247, episodic_return=7.486316561367712
global_step=7269, episodic_return=16.232816040733205
global_step=7287, episodic_return=13.42714742763063
global_step=7342, episodic_return=43.180936934330965
global_step=7371, episodic_return=5.553850104541008
global_step=7389, episodic_return=17.045899071044417
global_step=7419, episodic_return=34.393623346680435
global_step=7475, episodic_return=74.86571430313595
global_step=7493, episodic_return=18.279576599002883
global_step=7513, episodic_return=16.288347887990145
global_step=7523, episodic_return=6.761732451071759
global_step=7537, episodic_return=12.838195064483818
global_step=7578, episodic_return=32.57336280518089
global_step=7599, episodic_return=19.93235703908428
global_step=7612, episodic_return=8.368354455545635
global_step=7641, episodic_return=29.693671344009868
global_step=7654, episodic_return=10.546201278215001
global_step=7666, episodic_return=7.318950243278245
global_step=7695, episodic_return=20.716889358625934
global_step=7708, episodic_return=8.03580476451856
global_step=7721, episodic_return=7.916135283856942
global_step=7738, episodic_return=16.48694021570971
global_step=7762, episodic_return=26.256537379149282
global_step=7777, episodic_return=11.94027253498718
global_step=7816, episodic_return=25.11646595453753
global_step=7834, episodic_return=10.733255786233002
global_step=7881, episodic_return=20.75750149396153
global_step=7913, episodic_return=24.703600373949424
global_step=7929, episodic_return=8.447827227249126
global_step=7941, episodic_return=5.919502666912598
global_step=7969, episodic_return=33.34590064951385
global_step=7995, episodic_return=16.345710254103697
global_step=8015, episodic_return=14.000544141539761
global_step=8051, episodic_return=50.65374486716868
global_step=8071, episodic_return=13.039882680438563
global_step=8083, episodic_return=7.2334383323566955
global_step=8101, episodic_return=9.884317079631472
global_step=8124, episodic_return=15.167429827840344
global_step=8139, episodic_return=10.893216184857463
global_step=8169, episodic_return=17.391138461663147
global_step=8185, episodic_return=5.275625432881567
global_step=8214, episodic_return=10.884582104442186
global_step=8227, episodic_return=8.917417039040158
global_step=8268, episodic_return=25.633452099812093
global_step=8287, episodic_return=11.299597850152034
global_step=8296, episodic_return=4.357351664666043
global_step=8325, episodic_return=34.31899113652122
global_step=8353, episodic_return=3.9890110888438137
global_step=8378, episodic_return=13.436897494438638
global_step=8414, episodic_return=16.991808993626574
global_step=8430, episodic_return=11.1744788941986
global_step=8438, episodic_return=5.0101201757792175
global_step=8452, episodic_return=12.824086601937058
global_step=8479, episodic_return=24.778531619083367
global_step=8499, episodic_return=10.869704627147344
global_step=8523, episodic_return=12.716822366299786
global_step=8544, episodic_return=11.572501339070667
global_step=8561, episodic_return=12.57140894119288
global_step=8582, episodic_return=15.3504806703935
global_step=8603, episodic_return=11.708054543897058
global_step=8651, episodic_return=36.01248594025013
global_step=8664, episodic_return=9.279454329654104
global_step=8743, episodic_return=154.72011869985528
global_step=8756, episodic_return=7.846353454755431
global_step=8807, episodic_return=50.006537142031426
global_step=8829, episodic_return=17.308700677969195
global_step=8857, episodic_return=20.703174799265124
global_step=8868, episodic_return=6.290035588566607
global_step=8901, episodic_return=14.518064180508418
global_step=8923, episodic_return=13.866974136915166
global_step=8959, episodic_return=17.59530910199885
global_step=8971, episodic_return=7.741633355959833
global_step=8983, episodic_return=7.67006806140325
global_step=9002, episodic_return=17.387455688145337
global_step=9015, episodic_return=7.530174588993036
global_step=9036, episodic_return=22.26620582270181
global_step=9071, episodic_return=21.013208356035147
global_step=9096, episodic_return=25.780743213680445
global_step=9121, episodic_return=20.605904959762086
global_step=9141, episodic_return=15.486085157523059
global_step=9153, episodic_return=3.791198044359252
global_step=9173, episodic_return=18.646542787750214
global_step=9181, episodic_return=5.093413904583549
global_step=9202, episodic_return=19.965457304970652
global_step=9288, episodic_return=180.19408280787653
global_step=9303, episodic_return=10.652933489154632
global_step=9323, episodic_return=17.328507193889905
global_step=9344, episodic_return=14.012091003877494
global_step=9362, episodic_return=8.948651523382399
global_step=9380, episodic_return=8.866572560844133
global_step=9402, episodic_return=12.795659854566603
global_step=9421, episodic_return=18.117698279561136
global_step=9435, episodic_return=9.487272125721837
global_step=9469, episodic_return=16.063098840756147
global_step=9486, episodic_return=6.836473512320104
global_step=9531, episodic_return=36.728299730966754
global_step=9557, episodic_return=21.556044803406266
global_step=9579, episodic_return=15.544270169337207
global_step=9598, episodic_return=11.934715145823187
global_step=9619, episodic_return=11.882483193812986
global_step=9635, episodic_return=12.453921542659518
global_step=9660, episodic_return=13.801214789044005
global_step=9755, episodic_return=135.1785033910708
global_step=9768, episodic_return=4.979782463300371
global_step=9791, episodic_return=15.711366907380237
global_step=9826, episodic_return=27.01579542239584
global_step=9840, episodic_return=4.187715440702799
global_step=9852, episodic_return=9.4297211154449
global_step=9897, episodic_return=75.72303372206257
global_step=9914, episodic_return=12.194153698113494
global_step=9931, episodic_return=9.630869362860532
global_step=9946, episodic_return=8.599980549998989
global_step=9966, episodic_return=22.748954338024888
global_step=9981, episodic_return=7.8821855602461
global_step=10008, episodic_return=11.130098648590616
global_step=10019, episodic_return=7.186162104614151
global_step=10037, episodic_return=15.866444344738238
global_step=10052, episodic_return=9.474279945572496
global_step=10068, episodic_return=11.387709643273034
global_step=10081, episodic_return=10.370049468386208
global_step=10095, episodic_return=9.750507834661395
global_step=10120, episodic_return=12.215425854979646
global_step=10130, episodic_return=5.789434757141325
global_step=10148, episodic_return=12.361661046437662
global_step=10165, episodic_return=12.248196947836815
global_step=10205, episodic_return=31.13084042032005
global_step=10223, episodic_return=8.656157425336197
global_step=10237, episodic_return=6.700952275053689
global_step=10249, episodic_return=8.264193136345247
global_step=10259, episodic_return=6.431270199895506
global_step=10290, episodic_return=4.032414022944776
global_step=10308, episodic_return=13.763028893534718
global_step=10336, episodic_return=18.79314211005595
global_step=10379, episodic_return=57.50480334115205
global_step=10389, episodic_return=6.480560418218675
global_step=10411, episodic_return=24.501484955913284
global_step=10426, episodic_return=13.016445581938715
global_step=10436, episodic_return=5.9557765020739515
global_step=10453, episodic_return=12.53101480742401
global_step=10483, episodic_return=17.09732643214831
global_step=10498, episodic_return=8.256117382624094
global_step=10518, episodic_return=7.642670699393108
global_step=10551, episodic_return=38.96962622446094
global_step=10565, episodic_return=6.090211578662706
global_step=10582, episodic_return=9.97227011827037
global_step=10598, episodic_return=8.455149396135004
global_step=10610, episodic_return=9.19594263514168
global_step=10649, episodic_return=10.793129680776616
global_step=10664, episodic_return=7.261475444112455
global_step=10673, episodic_return=6.261456318226938
global_step=10683, episodic_return=6.978859506873161
global_step=10696, episodic_return=8.63109903679617
global_step=10715, episodic_return=17.65042379077967
global_step=10726, episodic_return=9.856835932807234
global_step=10738, episodic_return=9.368286590287363
global_step=10795, episodic_return=77.67163977503165
global_step=10808, episodic_return=10.47566156290487
global_step=10829, episodic_return=13.674181929430928
global_step=10840, episodic_return=7.575884927214605
global_step=10905, episodic_return=77.73053738361276
global_step=10916, episodic_return=8.155241575669093
global_step=10927, episodic_return=7.3198726181092555
global_step=10953, episodic_return=28.510289748444396
global_step=10969, episodic_return=13.334416410031329
global_step=10985, episodic_return=5.24582475625016
global_step=11020, episodic_return=27.32851907332767
global_step=11066, episodic_return=36.81824539350699
global_step=11082, episodic_return=13.095998932386593
global_step=11092, episodic_return=7.358148960730511
global_step=11103, episodic_return=8.008113491985064
global_step=11129, episodic_return=19.137365031238268
global_step=11143, episodic_return=13.127994199013832
global_step=11181, episodic_return=38.00748280053943
global_step=11211, episodic_return=27.213493097579995
global_step=11227, episodic_return=11.521681575725946
global_step=11241, episodic_return=4.899926102713867
